30283,	17#采集时间–秒
30284,	17#采集参数设置
30285,	17#采集光谱次数设置
30286,	18#采集时间–时
30287,	18#采集时间–分
30288,	18#采集时间–秒
30289,	18#采集参数设置
30290,	18#采集光谱次数设置

30291,	19#采集时间–时
30292,	19#采集时间–分
30293,	19#采集时间–秒
30294,	19#采集参数设置
30295,	19#采集光谱次数设置
30296,	20#采集时间–时
30297,	20#采集时间–分
30298,	20#采集时间–秒
30299,	20#采集参数设置
30300,	20#采集光谱次数设置
